Winery,Address,City,Website,Phone,NWP,App,Cave,Notes/Labels
13th Vineyard by Cade,150 White Cottage Rd S,Angwin,www.13thvineyard.com,968-5747,X,Yes,Yes,
1849 Wine,,,www.1849wine.com,323 581-8422,,Private,,Mostly non Napa wines
1881 Napa,7856 St. Helena Highway,Oakville,www.1881napa.com,948-6099,X,No,,Oakville Wine Merchant + Museum
4 Winds Winery,5870 Silverado Trail,Napa,www.4windswinery.com,294-8783,X,Private,Yes,
4088 Winery,4088 Atlas Peak Rod,Napa,,927-0662,,Private,,"Bialla, Ripe Peak Vineyard. Wines 2 China?"
601 Cellars,2545 Napa Valley Corp. Dr C,Napa,601cellars.com,927-3574,X,Yes,,
689 Cellars,,,www.689cellars.com,415 259-2860,,Private,,689wine.com Not made in NV? San Rafael WW
7 Cellars,8301 St. Helena Highway,Napa,www.7cellars.com,925 984-1531,,,,"John Elway, produced at ONEHOPE Winery"
70s Love Wines,4105 Chiles Pope Valley Rd,Napa,www.70slovewine.com,,X,Private,,
777 Cellars,PO Box 630449,Houston,www.777cellars.com,281 541-3308,X,Private,,
94574 Wine,1650 Whitehall  Lane,St. Helena,www.94574wine.com,510 693-9522,,Private,,
Abigail Adams Wine Co,P.O. Box 2200,Yountville,www.abigailadamswines.com,944-1132,,Private,,"Onesan, wines made in Napa VV?"
Abreu Vineyard,2366 Madrona Road,St. Helena,www.abreuvineyards.com,963-7487,X,Private,Yes,
Accendo Cellars,588 Zinfandel Lane,St. Helena,www.accendocellars.com,240 707-0311,X,Yes,,Wheeler Farms Winery
Ackerman Family Vineyards,2101 Kirkland Ave,Napa,www.ackermanfamilyvineyards.com,226-6696,X,Yes,,"TR downtown Napa, 608 Randolph Street"
Acre Wines,P.O. Box 3674,Yountville,www.acrewines.com,337-0379,X,Private,,
Acumen Wines,1315 1st Street,Napa,www.acumenwine.com,492-8336,X,No,,
Ad Vivum,1420 Madrona Ave,St. Helena,www.advivumcellars.com,963-1535,X,Private,,
ADAMVS,501 White Cottage Road N,Angwin,www.adamvs.com,965-0555,X,Yes,,
Adastra Wines,2545 Las Amigas Rd,Napa,www.adastrawines.com,255-4818   ,X,Private,,"Sonoma TR, Website down 2.20.22"
Addax Cellars,2100 Hoffman Lane,Napa,www.addaxwines.com,947-7934,,Private,,At  Elyse
Aequitas Vineyards,2520 Atlas Peak Road,Napa,www.aequitasvineyards.com,738-4332,X,Yes,,
Aftermath Wine,4270 Silverado Trail,Napa,www.aftermathwine.com,617 899-3682,,Private,,
Aileron Wines,3125 St. Helena Highway,Napa,www.aileronwines.com,,,Yes,,Made at Brasswood
AJ Pearce Wines,708 First Street,Napa,www.ajpearcewines.com,415 596-1401,X,No,,
Akrasia Cellars,,,www.akrasiacellars.com,,,Private,,Still producing?
Alejandro Bulgheroni Estate,500 Meadowood Lane,St. Helena,www.bulgheroniwine.com,963-6015,X,Yes,,New Frontier Wines portfolio
Alioto Pier Vineyards,1819 West Zinfandel Lane,St. Helena,www.aliotopiervineyards.com,,,Private,,
Allora Wines,3244 Elhlers Lane,St. Helena,www.allorawines.com,963-6071,X,Yes,,
Alpha Omega Winery,1155 Mee Lane ,Rutherford,www.aowinery.com,942-0167,X,No,,Old Domain Napa winery
Alta ,4110 Atlas Peak Road,Napa,www.altawinery.com,341-2930,X,Yes,,
Altamura Vineyards & Winery,1700 Wooden Valley Road,Napa,www.altamura.com,253-2000 ,X,Yes,Yes,
Amacerro ,1181 Las Posadas Road,Angwin,www.almacerro.com,,,Private,,
Amici Cellars,3130 Old Lawley Toll Road,Calistoga,www.amicicellars.com,967-9560,X,Private,,Olema is 2nd label
Amizetta,1099 Greenfield Rd,St. Helena,www.amizetta.com,963-1460,X,Yes,Yes,Tradition Wines
